"Refs","Value","Footprint","Qty","DNP"
"C1","1u","","1",""
"D1","BZT52Bxx","Diode_SMD:D_SOD-123F","1",""
"F1","Fuse","","1",""
"J1","Conn_Coaxial","","1",""
"J2","Conn_Coaxial","","1",""
"J3","Jack-DC","","1",""
"JP1","Jumper_2_Open","","1",""
"Q1","NPN","","1",""
"Q2","NPN","","1",""
"Q3","NPN","","1",""
"Q4","NPN","","1",""
"Q5","NPN","","1",""
"Q6","NPN","","1",""
"Q7","NPN","","1",""
"Q8","NPN","","1",""
"Q9","NPN","","1",""
"Q10","NPN","","1",""
"Q11","NPN","","1",""
"Q12","NPN","","1",""
"Q13","BSP129","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"R1","100R","","1",""
"R2","330R","","1",""
"R3","22R","","1",""
"R4","1k","","1",""
"R5","10k","","1",""
"U1","OPA2673","Package_DFN_QFN:Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm","1",""
