"Refs","Value","Footprint","Qty","DNP"
"C1","1u","","1",""
"C2","1u","","1",""
"C3","1u","","1",""
"C4","1u","","1",""
"C5","1u","","1",""
"D1","D_Zener","","1",""
"D2","D_Zener","","1",""
"D3","BAV99","Package_TO_SOT_SMD:SOT-23","1",""
"D4","LED","","1",""
"D5","LED","","1",""
"F1","Fuse","Fuse:Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","1",""
"F2","Fuse","Fuse:Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","1",""
"J1","Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","1",""
"J2","Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","1",""
"J3","Conn_01x01_Socket","Connector:Banana_Jack_1Pin","1",""
"J4","Conn_01x01_Socket","Connector:Banana_Jack_1Pin","1",""
"J5","Conn_01x01_Socket","Connector:Banana_Jack_1Pin","1",""
"JP1","Jumper_2_Open","","1",""
"JP2","Jumper_2_Open","","1",""
"Q1","PMOS","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"Q2","NMOS","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"Q3","NMOS","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"Q4","PMOS","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"R1","50","","1",""
"R2","1k","","1",""
"R3","1k","","1",""
"R4","100k","","1",""
"R5","1k","","1",""
"R6","1k","","1",""
"R7","100k","","1",""
"R8","100k","","1",""
"R9","1k","","1",""
"R10","1k","","1",""
"R11","100k","","1",""
"R12","92k","","1",""
"R13","92k","","1",""
"R14","10","","1",""
"R15","10","","1",""
"R16","5R","","1",""
"R17","5R","","1",""
"R18","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"R19","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"R20","92k","","1",""
"R21","92k","","1",""
"R22","1k","","1",""
"R23","1k","","1",""
"RV1","10k","footprints:POT_P120PK-x25_TTE","1",""
"RV2","10k","footprints:POT_P120PK-x25_TTE","1",""
"RV3","10k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","1",""
"RV4","10k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","1",""
"U1","Opamp_Dual","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","1",""
"U2","Opamp_Dual","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","1",""
